
S&P 500 INDEX,Last: 6706.21,Change:  74.02
Date: 16 marzo 2026 alle ore 13:11 GMT-4,Bid: 6704.5698,Ask: 6708.0298,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Sep 18 2026,SPX260918C03800000,3045.36,0,2968.2,2976.9,0,0.4548,0.9759,0,1,3800.00,SPX260918P03800000,22.4,-4.25,21.9,22.3,140,0.4524,-0.025,0,992
Fri Sep 18 2026,SPX260918C03850000,0,0,2920.1,2929.2,0,0.4497,0.9748,0,0,3850.00,SPX260918P03850000,27.5,0,22.7,23.1,0,0.4464,-0.0261,0,467
Fri Sep 18 2026,SPX260918C03900000,2281.71,0,2872,2880.6,0,0.4429,0.9736,0,0,3900.00,SPX260918P03900000,24.24,-4.36,23.6,24,40,0.4407,-0.0273,0,1152
Fri Sep 18 2026,SPX260918C03950000,0,0,2823.9,2832.5,0,0.437,0.9723,0,0,3950.00,SPX260918P03950000,28.36,0,24.5,25,0,0.4351,-0.0286,0,294
Fri Sep 18 2026,SPX260918C03975000,0,0,2798.8,2810.3,0,0.4352,0.9717,0,0,3975.00,SPX260918P03975000,29.9,0,25,25.4,0,0.4321,-0.0292,0,255
Fri Sep 18 2026,SPX260918C04000000,2945.9,0,2775.9,2784.9,0,0.4319,0.971,0,15,4000.00,SPX260918P04000000,25.6,-5.25,25.5,25.9,7,0.4294,-0.0299,0,6315
Fri Sep 18 2026,SPX260918C04025000,0,0,2750.8,2762.2,0,0.4293,0.9703,0,0,4025.00,SPX260918P04025000,27.1,-4.3,26,26.4,1,0.4266,-0.0306,0,472
Fri Sep 18 2026,SPX260918C04050000,0,0,2728,2736.9,0,0.4263,0.9696,0,0,4050.00,SPX260918P04050000,32.1,0,26.4,26.9,0,0.4236,-0.0313,0,698
Fri Sep 18 2026,SPX260918C04075000,0,0,2702.9,2714.2,0,0.4237,0.9689,0,0,4075.00,SPX260918P04075000,32.8,0,27,27.4,0,0.4209,-0.032,0,297
Fri Sep 18 2026,SPX260918C04100000,0,0,2680,2688.9,0,0.4205,0.9682,0,0,4100.00,SPX260918P04100000,27.95,-5.3,27.5,28,4,0.4182,-0.0327,0,2129
Fri Sep 18 2026,SPX260918C04125000,0,0,2655,2666.2,0,0.418,0.9674,0,0,4125.00,SPX260918P04125000,33.7,0,28,28.5,0,0.4154,-0.0335,0,286
Fri Sep 18 2026,SPX260918C04150000,2907.9,0,2632.1,2640.9,0,0.4148,0.9667,0,1,4150.00,SPX260918P04150000,33.51,0,28.5,29.1,0,0.4126,-0.0342,0,628
Fri Sep 18 2026,SPX260918C04175000,0,0,2607.1,2618.3,0,0.4123,0.9659,0,0,4175.00,SPX260918P04175000,29.7,-5.65,29.1,29.6,134,0.4099,-0.035,0,670
Fri Sep 18 2026,SPX260918C04200000,2662.46,0,2584.3,2593.1,0,0.4094,0.9651,0,1,4200.00,SPX260918P04200000,35.6,0,29.7,30.2,0,0.4072,-0.0358,0,2513
Fri Sep 18 2026,SPX260918C04225000,0,0,2559.3,2570.4,0,0.4068,0.9643,0,0,4225.00,SPX260918P04225000,35.79,0,30.2,30.8,0,0.4045,-0.0366,0,176
Fri Sep 18 2026,SPX260918C04250000,2523.38,0,2536.5,2545.2,0,0.4038,0.9634,0,0,4250.00,SPX260918P04250000,31.33,-6.17,30.8,31.4,2,0.4018,-0.0375,0,678
Fri Sep 18 2026,SPX260918C04275000,0,0,2511.6,2522.6,0,0.4014,0.9626,0,0,4275.00,SPX260918P04275000,38.1,0,31.4,32,0,0.3991,-0.0383,0,348
Fri Sep 18 2026,SPX260918C04300000,0,0,2488.8,2497.4,0,0.3984,0.9617,0,0,4300.00,SPX260918P04300000,38.8,0,32.1,32.6,0,0.3965,-0.0392,0,2084
Fri Sep 18 2026,SPX260918C04325000,0,0,2463.9,2474.8,0,0.3959,0.9608,0,0,4325.00,SPX260918P04325000,39.7,0,32.7,33.3,0,0.3939,-0.0401,0,497
Fri Sep 18 2026,SPX260918C04350000,0,0,2441.1,2449.7,0,0.393,0.9599,0,0,4350.00,SPX260918P04350000,40.4,0,33.3,33.9,0,0.3911,-0.041,0,504
Fri Sep 18 2026,SPX260918C04375000,0,0,2416.2,2427.2,0,0.3906,0.9589,0,0,4375.00,SPX260918P04375000,41.2,0,34,34.6,0,0.3886,-0.042,0,482
Fri Sep 18 2026,SPX260918C04400000,2636.75,0,2393.5,2401.6,0,0.3872,0.9579,0,400,4400.00,SPX260918P04400000,35.89,-6.11,34.7,35.3,2,0.386,-0.043,0,1134
Fri Sep 18 2026,SPX260918C04425000,0,0,2368.7,2379.5,0,0.3853,0.9569,0,0,4425.00,SPX260918P04425000,36.67,-6.18,35.4,36,7,0.3834,-0.044,0,379
Fri Sep 18 2026,SPX260918C04450000,2589.2,0,2345.9,2354.5,0,0.3824,0.9559,0,400,4450.00,SPX260918P04450000,43.5,0,36.1,36.8,0,0.3809,-0.045,0,692
Fri Sep 18 2026,SPX260918C04475000,0,0,2321.2,2332,0,0.3802,0.9548,0,0,4475.00,SPX260918P04475000,44.7,0,36.8,37.5,0,0.3783,-0.0461,0,465
Fri Sep 18 2026,SPX260918C04500000,2280.01,0,2298.5,2306.9,0,0.3773,0.9538,0,9,4500.00,SPX260918P04500000,37.9,-7.7,37.6,38.3,99,0.3758,-0.0472,0,7557
Fri Sep 18 2026,SPX260918C04525000,0,0,2273.7,2284.5,0,0.375,0.9526,0.0001,0,4525.00,SPX260918P04525000,46.6,0,38.3,39,0,0.3732,-0.0483,0.0001,513
Fri Sep 18 2026,SPX260918C04550000,1703.05,0,2251.1,2259.5,0,0.3722,0.9515,0.0001,1,4550.00,SPX260918P04550000,47.3,0,39.1,39.8,0,0.3707,-0.0494,0.0001,392
Fri Sep 18 2026,SPX260918C04575000,0,0,2226.4,2236.8,0,0.3696,0.9503,0.0001,0,4575.00,SPX260918P04575000,41.3,-7.25,40,40.7,10,0.3684,-0.0506,0.0001,451
Fri Sep 18 2026,SPX260918C04600000,2348.64,0,2203.8,2212.2,0,0.3673,0.9491,0.0001,1,4600.00,SPX260918P04600000,40.82,-8.73,40.8,41.5,47,0.3658,-0.0518,0.0001,1421
Fri Sep 18 2026,SPX260918C04625000,0,0,2179.2,2189.8,0,0.365,0.9479,0.0001,0,4625.00,SPX260918P04625000,49.21,0,41.7,42.4,0,0.3634,-0.053,0.0001,694
Fri Sep 18 2026,SPX260918C04650000,0,0,2156.6,2164.9,0,0.3623,0.9466,0.0001,0,4650.00,SPX260918P04650000,43.31,-8.44,42.5,43.3,2,0.3609,-0.0543,0.0001,1897
Fri Sep 18 2026,SPX260918C04675000,0,0,2132,2142.5,0,0.36,0.9453,0.0001,0,4675.00,SPX260918P04675000,52.5,0,43.5,44.2,0,0.3586,-0.0556,0.0001,673
Fri Sep 18 2026,SPX260918C04700000,1978.68,0,2109.4,2117.7,0,0.3573,0.944,0.0001,1,4700.00,SPX260918P04700000,45.6,-8.45,44.4,45.1,801,0.3561,-0.057,0.0001,5521
Fri Sep 18 2026,SPX260918C04725000,0,0,2085.2,2094.9,0,0.355,0.9426,0.0001,0,4725.00,SPX260918P04725000,45.65,-9.7,45.4,46.1,2,0.3538,-0.0584,0.0001,687
Fri Sep 18 2026,SPX260918C04750000,0,0,2062.4,2070.6,0,0.3525,0.9411,0.0001,0,4750.00,SPX260918P04750000,46.65,-10,46.4,47.1,29,0.3515,-0.0598,0.0001,9397
Fri Sep 18 2026,SPX260918C04775000,0,0,2038,2047.9,0,0.35,0.9397,0.0001,0,4775.00,SPX260918P04775000,48.8,-9,47.4,48.1,1,0.3491,-0.0612,0.0001,1123
Fri Sep 18 2026,SPX260918C04800000,2067.8,0,2015.5,2023.7,0,0.3478,0.9382,0.0001,109,4800.00,SPX260918P04800000,48.89,-10.06,48.4,49.1,2,0.3467,-0.0628,0.0001,2755
Fri Sep 18 2026,SPX260918C04825000,2121.44,0,1991.1,2001,0,0.3452,0.9366,0.0001,1,4825.00,SPX260918P04825000,49.89,-10.41,49.5,50.2,1,0.3444,-0.0643,0.0001,570
Fri Sep 18 2026,SPX260918C04850000,0,0,1968.7,1976.9,0,0.3431,0.935,0.0001,0,4850.00,SPX260918P04850000,61.6,0,50.6,51.3,0,0.3421,-0.0659,0.0001,3045
Fri Sep 18 2026,SPX260918C04875000,0,0,1944.4,1954.2,0,0.3406,0.9334,0.0001,0,4875.00,SPX260918P04875000,63.3,0,51.7,52.5,0,0.3398,-0.0675,0.0001,712
